symbol,status,best_model,horizon,accuracy,precision,recall,f1,train_rows,test_rows,elapsed_s,error
ATUL.NS,ok,XGB_HiReg,6 Months,0.8664,0.8082,0.7024,0.7516,0,0,120.1,
AUBANK.NS,ok,LightGBM,2 Weeks,0.6916,1.0,0.0228,0.0446,0,0,382.0,
AUROPHARMA.NS,ok,RandForest,3 Months,0.7827,0.7083,0.1328,0.2237,0,0,152.3,
AWL.NS,ok,Ensemble,6 Months,0.9743,0.8,0.2222,0.3478,0,0,149.8,
AXISBANK.NS,ok,XGB_HiReg,6 Months,0.8202,0.7014,0.799,0.747,0,0,174.8,
BAJAJ-AUTO.NS,below_threshold,XGBoost,1 Month,0.7485,0.5472,0.0,0.0,0,0,142.6,
BAJAJFINSV.NS,ok,RandForest,6 Months,0.887,0.8,0.1111,0.1951,0,0,169.5,
BAJAJHFL.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.3,
BAJAJHLDNG.NS,below_threshold,TabNet,1 Month,0.7164,0.3563,0.0,0.0,0,0,166.6,
BAJFINANCE.NS,ok,StackEnsemble,1 Month,0.807,0.9091,0.2381,0.3774,0,0,174.7,
BALKRISIND.NS,below_threshold,Ensemble,3 Months,0.8944,0.5833,0.0,0.0,0,0,165.5,
BALRAMCHIN.NS,ok,StackEnsemble,6 Months,0.8151,0.8125,0.625,0.7065,0,0,121.2,
BANDHANBNK.NS,ok,LightGBM,2 Months,0.6807,1.0,0.1347,0.2374,0,0,160.1,
BANKBARODA.NS,ok,RandForest,3 Months,0.7981,0.7083,0.1214,0.2073,0,0,162.1,
BANKINDIA.NS,ok,CatBoost,1 Week,0.7053,0.7222,0.1696,0.2746,0,0,160.3,
BASF.NS,below_threshold,Ensemble,1 Week,0.7854,0.5333,0.0,0.0,0,0,172.3,
BATAINDIA.NS,ok,Ensemble,2 Months,0.9127,0.8,0.125,0.2162,0,0,161.4,
BAYERCROP.NS,ok,XGBoost,3 Months,0.8447,1.0,0.1228,0.2188,0,0,161.3,
BBTC.NS,below_threshold,RandForest,2 Weeks,0.768,0.55,0.0,0.0,0,0,123.9,
